business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_type,risk_category,neighborhoods,inspection_year,inspection_month,inspection_day
35591,94103,37.764814,-122.422979,87,103161,1,1,37,2018,1,9
4672,94122,37.763428,-122.480921,84,103120,2,2,39,2017,11,20
2156,94107,37.762367,-122.397515,90,103120,2,2,54,2017,11,21
63757,94103,37.784317,-122.407563,80,103112,3,3,32,2018,1,8
2743,94103,37.765708,-122.409002,96,103154,1,1,53,2019,1,11
7493,94110,37.758817,-122.416522,85,103156,4,1,53,2017,5,17
3272,94133,37.797137,-122.403586,92,103144,4,1,106,2019,4,30
34221,94108,37.789128,-122.406847,89,103103,2,3,19,2018,5,1
59828,94102,37.783268,-122.410553,55,103118,1,2,20,2019,8,20
5854,94115,37.783427,-122.437747,98,103144,4,1,97,2018,2,27
2933,94133,37.808098,-122.417194,79,103119,3,2,99,2018,2,8
64835,94115,37.789404,-122.433954,84,103120,2,2,102,2016,10,24
3578,94108,37.787108,-122.406409,96,103120,2,2,19,2017,3,22
61056,94115,37.791777,-122.440355,92,103139,2,1,102,2017,9,5
1579,94133,37.802479,-122.411234,92,103142,1,1,106,2017,12,11
36589,94110,37.749603,-122.408928,67,103132,2,2,53,2018,6,4
64154,94108,37.794457,-122.407896,86,103120,2,2,104,2017,11,9
62277,94102,37.779847,-122.418985,87,103116,2,2,21,2018,2,21
2292,94122,37.753638,-122.490712,79,103120,2,2,39,2016,11,30
3190,94122,37.753953,-122.482629,70,103142,1,1,39,2019,1,10
552,94122,37.763428,-122.481736,81,103139,2,1,39,2017,8,15
3082,94105,37.794347,-122.394932,90,103161,1,1,108,2018,1,24
32872,94102,37.788823,-122.411507,80,103133,1,2,50,2017,2,9
874,94109,37.792093,-122.421024,85,103154,1,1,105,2017,9,8
32919,94109,37.783559,-122.41595,70,103108,1,3,20,2018,5,1
3738,94118,37.777299,-122.463353,87,103102,1,3,5,2019,3,12
32925,94110,37.752073,-122.420939,78,103114,1,3,53,2017,8,10
4777,94107,37.781556,-122.388484,92,103161,1,1,31,2019,2,12
63169,94110,37.754383,-122.418616,88,103116,2,2,53,2018,7,17
18767,94122,37.763399,-122.479654,86,103149,1,1,39,2017,9,6
268,94123,37.800767,-122.436924,82,103108,1,3,17,2019,8,13
2737,94103,37.774677,-122.404222,90,103119,3,2,32,2017,7,25
5796,94127,37.730198,-122.466238,98,103139,2,1,63,2017,8,25
7087,94110,37.752162,-122.420585,87,103103,2,3,53,2018,3,8
1619,94110,37.76031,-122.417123,90,103161,1,1,53,2018,4,3
816,94124,37.722374,-122.395841,88,103131,1,2,88,2018,11,27
25161,94102,37.7877,-122.408345,96,103143,3,1,19,2019,6,10
2638,94103,37.764814,-122.423089,86,103156,4,1,37,2018,8,30
102,94102,37.788484,-122.410045,86,103147,3,1,19,2018,3,2
27350,94110,37.761965,-122.417948,75,103133,1,2,53,2019,6,27
3429,94133,37.805758,-122.412774,92,103154,1,1,99,2017,11,21
25167,94112,37.726402,-122.433476,92,103120,2,2,90,2016,12,8
3256,94112,37.709737,-122.45007,87,103119,3,2,66,2016,10,5
63169,94110,37.754383,-122.418616,81,103157,4,1,53,2016,12,30
18767,94122,37.763399,-122.479654,86,103131,1,2,39,2017,9,6
1692,94104,37.791318,-122.403757,88,103133,1,2,108,2018,10,30
23273,94124,37.736484,-122.398418,96,103131,1,2,87,2017,12,18
34858,94109,37.789518,-122.414409,92,103131,1,2,50,2017,4,24
1021,94110,37.751885,-122.418406,90,103120,2,2,53,2017,9,12
639,94109,37.790734,-122.420783,94,103125,2,2,105,2019,9,17
7243,94112,37.725432,-122.434216,75,103116,2,2,90,2019,2,20
7489,94110,37.763803,-122.417326,86,103154,1,1,53,2017,11,14
12970,94110,37.750134,-122.413935,96,103131,1,2,53,2019,9,25
628,94115,37.786407,-122.440057,74,103148,3,1,103,2018,5,4
1345,94109,37.790683,-122.420264,80,103147,3,1,105,2018,6,26
1347,94117,37.765778,-122.450184,88,103120,2,2,29,2019,5,7
4502,94134,37.727739,-122.403579,82,103161,1,1,91,2016,11,2
2523,94112,37.715315,-122.442007,88,103152,1,1,80,2017,8,2
1757,94109,37.789784,-122.420455,81,103139,2,1,105,2019,4,16
2293,94116,37.743118,-122.474802,96,103133,1,2,44,2018,6,5
61856,94111,37.793424,-122.398168,94,103150,3,1,108,2018,5,23
2426,94110,37.755357,-122.420652,83,103124,1,2,53,2019,5,9
34611,94108,37.795594,-122.408204,81,103124,1,2,104,2017,8,1
5998,94103,37.766618,-122.421263,86,103154,1,1,53,2018,4,9
62779,94107,37.780739,-122.395015,84,103142,1,1,31,2018,6,14
39176,94109,37.796748,-122.421897,79,103133,1,2,105,2017,12,19
1912,94122,37.754114,-122.47833,88,103161,1,1,39,2018,3,14
5926,94134,37.732518,-122.411648,93,103112,3,3,91,2018,10,18
36614,94114,37.760959,-122.434302,83,103133,1,2,38,2018,7,25
470,94133,37.798427,-122.407507,92,103156,4,1,106,2018,5,23
2252,94104,37.789064,-122.402861,96,103142,1,1,19,2019,7,15
3056,94102,37.786458,-122.409677,92,103154,1,1,19,2017,2,17
2428,94110,37.752634,-122.411658,84,103127,2,2,53,2017,7,24
59422,94102,37.787008,-122.411304,96,103119,3,2,50,2017,11,27
6564,94103,37.774722,-122.406761,82,103154,1,1,32,2018,5,22
40216,94115,37.785018,-122.429587,75,103132,2,2,101,2018,7,17
7761,94110,37.736628,-122.424163,90,103142,1,1,61,2018,1,3
1352,94114,37.760954,-122.434935,86,103119,3,2,38,2016,11,29
7655,94117,37.77598,-122.429577,94,103157,4,1,22,2018,9,20
63713,94122,37.753603,-122.489688,96,103139,2,1,39,2017,12,15
95,94110,37.739207,-122.417447,85,103114,1,3,83,2019,8,12
1352,94114,37.760954,-122.434935,74,103177,2,1,38,2018,6,20
5215,94102,37.783274,-122.412392,98,103161,1,1,20,2017,9,22
1249,94110,37.753691,-122.418657,74,103144,4,1,53,2018,5,15
2638,94103,37.764814,-122.423089,81,103142,1,1,37,2019,7,17
24572,94122,37.753608,-122.491313,69,103154,1,1,39,2019,7,16
2942,94109,37.790193,-122.423437,88,103154,1,1,102,2019,1,11
64057,94117,37.772473,-122.437324,92,103120,2,2,112,2018,6,18
62462,94102,37.781518,-122.416982,73,103150,3,1,20,2017,10,23
1262,94117,37.767286,-122.453075,90,103149,1,1,29,2017,12,15
854,94133,37.798914,-122.408885,92,103119,3,2,106,2018,8,16
4483,94114,37.751493,-122.430439,90,103141,2,1,84,2017,12,1
34458,94108,37.791185,-122.404144,84,103133,1,2,104,2019,2,4
2659,94110,37.739048,-122.416019,79,103157,4,1,83,2017,3,6
1203,94118,37.780834,-122.46659,77,103120,2,2,5,2017,8,3
2749,94110,37.745433,-122.419945,94,103131,1,2,83,2016,11,28
27680,94133,37.798547,-122.410437,84,103131,1,2,106,2017,5,2
58628,94133,37.80824,-122.410189,94,103145,2,1,99,2018,8,13
7095,94117,37.772822,-122.430498,94,103144,4,1,26,2018,12,10
4555,94123,37.799934,-122.442977,94,103161,1,1,17,2017,11,28
63897,94109,37.791914,-122.420984,88,103131,1,2,105,2019,7,10
3331,94114,37.760698,-122.435015,94,103149,1,1,38,2018,10,15
62462,94102,37.781518,-122.416982,83,103142,1,1,20,2019,6,12
3895,94133,37.803984,-122.415453,84,103156,4,1,106,2019,4,22
3072,94107,37.779522,-122.398104,92,103119,3,2,32,2017,1,12
972,94122,37.753614,-122.490219,83,103119,3,2,39,2016,11,9
3211,94122,37.763503,-122.477748,85,103143,3,1,39,2017,9,12
1632,94110,37.748164,-122.418241,94,103154,1,1,83,2017,3,14
33700,94110,37.749194,-122.418116,94,103153,2,1,53,2016,10,18
38330,94103,37.768168,-122.42225,94,103124,1,2,37,2018,6,25
4716,94123,37.797138,-122.435334,88,103161,1,1,15,2017,9,25
39667,94105,37.789437,-122.401111,89,103119,3,2,108,2019,5,1
34839,94102,37.782672,-122.419026,90,103120,2,2,20,2019,6,11
4037,94109,37.786059,-122.418952,90,103156,4,1,50,2017,5,5
10332,94103,37.776384,-122.411684,79,103130,3,2,32,2017,10,2
61351,94133,37.800628,-122.407824,92,103150,3,1,106,2019,3,18
1232,94102,37.786316,-122.409371,88,103149,1,1,19,2019,2,11
2788,94133,37.800424,-122.410894,92,103154,1,1,107,2018,6,12
37231,94108,37.794723,-122.406944,85,103131,1,2,104,2017,12,6
2356,94110,37.752634,-122.418486,85,103124,1,2,53,2017,11,27
37732,94102,37.782938,-122.413133,90,103124,1,2,20,2017,8,30
2808,94127,37.725404,-122.462776,81,103162,1,1,67,2017,6,21
4917,94110,37.752373,-122.410876,69,103133,1,2,53,2018,6,5
4622,94133,37.797465,-122.408605,86,103139,2,1,104,2017,11,15
5925,94112,37.727337,-122.45245,90,103130,3,2,71,2017,1,31
3571,94104,37.791714,-122.400835,88,103149,1,1,108,2019,4,9
2032,94109,37.786988,-122.426464,92,103131,1,2,100,2019,7,11
61953,94102,37.781697,-122.415334,94,103139,2,1,20,2017,12,4
3861,94134,37.731788,-122.405381,83,103105,2,3,91,2017,11,6
63576,94110,37.741333,-122.422603,94,103142,1,1,83,2016,12,20
10332,94103,37.776384,-122.411684,82,103114,1,3,32,2019,7,16
2279,94121,37.780353,-122.477399,90,103124,1,2,5,2019,9,13
1005,94110,37.748855,-122.418134,88,103142,1,1,53,2019,8,8
1927,94117,37.775793,-122.446227,96,103124,1,2,24,2017,11,14
1154,94103,37.764678,-122.421905,46,103102,1,3,37,2019,3,27
7534,94105,37.792037,-122.397852,96,103152,1,1,108,2017,12,7
21143,94107,37.783272,-122.398204,92,103119,3,2,32,2018,3,7
3338,94109,37.798098,-122.422156,92,103139,2,1,105,2018,2,23
19003,94103,37.764903,-122.421609,83,103118,1,2,53,2018,1,18
2223,94133,37.795835,-122.407828,80,103109,1,3,104,2018,12,19
59949,94109,37.788964,-122.420384,94,103154,1,1,50,2017,10,17
2326,94103,37.765123,-122.417919,74,103157,4,1,53,2018,4,11
302,94109,37.786084,-122.417889,81,103120,2,2,20,2017,7,28
2659,94110,37.739048,-122.416019,77,103124,1,2,83,2018,3,27
2110,94109,37.786143,-122.417617,81,103152,1,1,20,2018,2,5
24198,94109,37.787288,-122.418389,89,103142,1,1,50,2018,3,13
929,94110,37.758832,-122.421359,89,103124,1,2,37,2018,8,13
3443,94133,37.80824,-122.410189,88,103145,2,1,99,2017,9,21
60616,94110,37.755044,-122.416506,89,103116,2,2,53,2017,11,14
606,94121,37.781624,-122.492609,80,103145,2,1,8,2019,3,13
57552,94111,37.795398,-122.400944,70,103135,2,1,108,2016,11,16
7643,94112,37.712148,-122.452076,67,103108,1,3,66,2017,3,9
60933,94109,37.788313,-122.420254,81,103124,1,2,50,2017,12,14
7275,94122,37.753618,-122.491031,96,103156,4,1,39,2017,11,15
34388,94123,37.798764,-122.435874,75,103149,1,1,15,2018,1,4
39708,94105,37.792663,-122.392403,80,103105,2,3,108,2017,6,20
251,94122,37.764148,-122.464391,98,103149,1,1,109,2019,6,19
2039,94115,37.790437,-122.434097,91,103105,2,3,102,2017,5,31
2601,94108,37.789883,-122.408666,81,103119,3,2,19,2019,7,31
2262,94108,37.791757,-122.407377,96,103124,1,2,104,2019,2,25
32556,94121,37.779853,-122.509128,75,103105,2,3,6,2019,9,9
7493,94110,37.758817,-122.416522,90,103156,4,1,53,2017,11,14
37115,94108,37.791534,-122.404214,87,103161,1,1,104,2019,6,4
19076,94118,37.781153,-122.45936,65,103143,3,1,5,2017,6,26
13623,94105,37.786803,-122.399681,75,103109,1,3,32,2018,6,22
18310,94112,37.723782,-122.435446,78,103102,1,3,90,2019,8,19
60473,94109,37.785503,-122.415157,94,103161,1,1,20,2017,6,29
1000,94110,37.755282,-122.420493,76,103133,1,2,53,2018,5,23
39053,94105,37.787254,-122.400212,96,103133,1,2,32,2019,5,1
39398,94110,37.746953,-122.418954,85,103154,1,1,83,2017,10,20
3111,94108,37.789895,-122.408774,87,103161,1,1,19,2017,1,27
61073,94115,37.783237,-122.433243,80,103107,2,3,97,2017,2,22
13671,94107,37.776491,-122.394175,89,103133,1,2,34,2018,12,4
3409,94105,37.792604,-122.392268,77,103150,3,1,108,2019,1,28
7575,94115,37.786568,-122.429754,85,103119,3,2,101,2017,2,15
1932,94118,37.781138,-122.463931,83,103109,1,3,5,2018,10,31
36685,94110,37.751868,-122.420665,90,103120,2,2,53,2017,10,12
63121,94133,37.799697,-122.407614,86,103133,1,2,106,2019,6,5
4533,94108,37.795594,-122.408204,79,103121,2,2,104,2019,10,1
34708,94110,37.738893,-122.414078,82,103105,2,3,83,2019,8,14
64231,94115,37.785888,-122.435133,87,103103,2,3,103,2017,4,25
7211,94114,37.757743,-122.434626,86,103123,1,2,115,2018,10,1
4630,94127,37.730139,-122.469855,96,103157,4,1,67,2017,3,4
4819,94111,37.791742,-122.398373,88,103133,1,2,108,2017,1,3
5974,94121,37.779943,-122.486199,96,103144,4,1,8,2016,11,2
1389,94121,37.78047,-122.478832,87,103161,1,1,8,2017,10,11
5156,94110,37.765507,-122.407565,94,103119,3,2,53,2018,4,30
1685,94133,37.796098,-122.406275,90,103131,1,2,104,2017,11,27
36758,94117,37.771988,-122.431564,86,103148,3,1,26,2016,12,14
670,94123,37.801334,-122.424905,86,103142,1,1,17,2019,5,7
62767,94122,37.766003,-122.464538,98,103144,4,1,109,2019,6,26
3982,94103,37.771501,-122.413439,86,103124,1,2,32,2019,8,1
39810,94118,37.782778,-122.468341,88,103161,1,1,5,2019,9,10
500,94108,37.790003,-122.408688,96,103120,2,2,19,2019,9,10
19002,94121,37.780421,-122.479933,91,103156,4,1,8,2019,2,12
6019,94115,37.786944,-122.426377,96,103129,3,2,100,2018,6,13
2808,94127,37.725404,-122.462776,74,103154,1,1,67,2019,1,3
3228,94122,37.760383,-122.50609,86,103119,3,2,39,2018,6,19
2334,94110,37.755693,-122.40665,88,103120,2,2,53,2017,11,28
10877,94118,37.783038,-122.462982,48,103138,2,1,5,2019,7,1
522,94132,37.728497,-122.475639,88,103124,1,2,41,2017,2,9
1710,94108,37.787936,-122.406712,90,103141,2,1,19,2017,2,21
5859,94134,37.720656,-122.405108,98,103144,4,1,91,2019,9,12
32671,94110,37.752512,-122.415109,70,103145,2,1,53,2017,1,10
62701,94111,37.793907,-122.402304,83,103129,3,2,108,2019,3,1
2357,94110,37.752408,-122.418535,81,103133,1,2,53,2018,7,23
4734,94123,37.800568,-122.438354,85,103124,1,2,17,2018,11,28
7745,94133,37.805923,-122.41528,94,103149,1,1,99,2016,11,10
1959,94122,37.758941,-122.48591,79,103103,2,3,39,2019,2,6
40185,94111,37.796921,-122.400039,94,103139,2,1,77,2017,2,22
2063,94123,37.800248,-122.433053,77,103124,1,2,17,2019,9,24
60473,94109,37.785503,-122.415157,92,103141,2,1,20,2017,12,15
36160,94112,37.726489,-122.433485,92,103120,2,2,94,2017,11,29
247,94118,37.782953,-122.46351,88,103131,1,2,5,2019,8,14
403,94103,37.784317,-122.407563,94,103154,1,1,32,2018,4,30
2240,94108,37.793687,-122.396592,79,103148,3,1,108,2017,10,20
557,94118,37.77721,-122.462874,76,103116,2,2,5,2017,10,18
194,94134,37.715126,-122.398901,84,103120,2,2,89,2017,9,19
10280,94102,37.782034,-122.419777,81,103142,1,1,21,2018,10,18
3963,94105,37.790363,-122.393022,94,103142,1,1,108,2018,11,26
3626,94110,37.753823,-122.420786,89,103124,1,2,53,2017,10,4
62889,94105,37.785608,-122.399069,94,103119,3,2,32,2019,7,10
2842,94103,37.786476,-122.404852,70,103129,3,2,32,2019,2,20
3228,94122,37.760383,-122.50609,86,103133,1,2,39,2018,6,19
7558,94118,37.782724,-122.46826,92,103154,1,1,5,2018,5,21
4708,94123,37.796828,-122.430234,96,103142,1,1,15,2017,5,12
1434,94114,37.751628,-122.429122,96,103149,1,1,84,2016,12,5
4449,94110,37.741317,-122.422687,80,103157,4,1,83,2016,12,15
1926,94121,37.782971,-122.496324,87,103161,1,1,7,2019,5,3
4817,94124,37.733019,-122.391239,90,103147,3,1,86,2018,10,29
6966,94133,37.795786,-122.409065,79,103157,4,1,104,2019,4,3
64231,94115,37.785888,-122.435133,90,103144,4,1,103,2019,3,11
35828,94112,37.715986,-122.440039,74,103109,1,3,90,2017,10,31
39049,94104,37.789068,-122.40201,92,103145,2,1,19,2019,4,15
1090,94111,37.795614,-122.403104,74,103139,2,1,106,2017,5,4
60484,94127,37.73678,-122.470377,81,103103,2,3,46,2018,11,1
5961,94123,37.795882,-122.43789,96,103116,2,2,14,2018,2,20
510,94122,37.753633,-122.48954,87,103154,1,1,39,2016,11,9
1031,94102,37.775538,-122.426264,85,103131,1,2,22,2018,3,28
61736,94110,37.751587,-122.418444,86,103149,1,1,53,2017,7,13
60354,94102,37.783527,-122.409061,89,103103,2,3,19,2019,6,6
59577,94103,37.784848,-122.406892,77,103129,3,2,32,2017,4,27
14303,94122,37.760454,-122.503939,84,103131,1,2,39,2018,6,21
1994,94112,37.715469,-122.441846,92,103124,1,2,80,2017,5,25
3510,94111,37.794127,-122.404074,79,103133,1,2,104,2019,4,3
36348,94110,37.762217,-122.415035,77,103124,1,2,53,2019,10,2
37167,94013,37.781664,-122.404778,92,103145,2,1,32,2019,9,9
2646,94110,37.759823,-122.421346,88,103153,2,1,53,2019,5,8
3645,94102,37.773415,-122.421598,90,103120,2,2,21,2017,11,2
64660,92672,37.769957,-122.447533,87,103142,1,1,25,2017,2,22
782,94107,37.764627,-122.396764,92,103124,1,2,54,2018,4,13
2143,94118,37.782933,-122.46408,87,103154,1,1,5,2019,6,26
61016,94112,37.715276,-122.432081,94,103129,3,2,90,2017,12,5
7768,94115,37.775798,-122.426187,90,103138,2,1,22,2019,8,2
7747,94112,37.71954,-122.438775,88,103124,1,2,80,2016,12,10
21982,94110,37.736438,-122.424269,70,103120,2,2,61,2019,1,29
33710,94110,37.752455,-122.414116,96,103154,1,1,53,2019,7,31
27791,94111,37.795108,-122.396184,96,103124,1,2,108,2019,3,25
2127,94133,37.800653,-122.437386,79,103133,1,2,17,2016,10,17
3285,94109,37.787438,-122.419952,77,103102,1,3,50,2016,10,5
40217,94121,37.783758,-122.482885,81,103124,1,2,8,2018,6,1
1636,94117,37.771738,-122.433583,88,103144,4,1,26,2018,10,3
17508,94108,37.795778,-122.404978,89,103124,1,2,104,2017,4,19
2987,94133,37.798217,-122.404214,94,103144,4,1,106,2017,7,19
2996,94105,37.789394,-122.390073,72,103114,1,3,30,2019,7,11
1568,94133,37.803056,-122.414186,90,103144,4,1,107,2018,4,5
3241,94122,37.76344,-122.478648,96,103154,1,1,39,2019,8,7
36534,94118,37.787218,-122.447403,96,103161,1,1,10,2019,1,23
320,94109,37.786545,-122.419894,81,103154,1,1,50,2018,5,22
4559,94115,37.785623,-122.436498,81,103124,1,2,103,2019,3,8
1042,94117,37.771964,-122.431336,92,103131,1,2,26,2017,12,11
1487,94105,37.787834,-122.399522,96,103156,4,1,32,2019,6,10
3323,94109,37.799187,-122.419115,96,103142,1,1,107,2018,2,13
1398,94122,37.764053,-122.465539,86,103109,1,3,109,2019,4,17
1454,94115,37.786838,-122.428317,94,103124,1,2,101,2019,4,11
38442,94115,37.786578,-122.440096,77,103149,1,1,103,2017,1,3
9156,94107,37.782218,-122.393423,88,103131,1,2,31,2018,3,7
